"cylinders","displacement","horsepower","weight","acceleration","year","origin","name","mpg"
4,121,98,2945,14.5,75,2,volvo 244dl,22
4,86,65,1975,15.2,79,3,maxda glc deluxe,34.1
4,91,67,1965,15,82,3,honda civic,38
4,135,84,2295,11.6,82,1,dodge rampage,32
4,113,95,2278,15.5,72,3,toyota corona hardtop,24
6,232,90,3211,17,75,1,amc pacer,19
8,350,175,4100,13,73,1,buick century 350,13
8,307,130,4098,14,72,1,chevrolet chevelle concours (sw),13
4,112,88,2395,18,82,1,chevrolet cavalier 2-door,34
4,98,70,2125,17.3,82,1,mercury lynx l,36
4,156,105,2745,16.7,78,1,plymouth sapporo,23.2
6,231,110,3907,21,75,1,buick century,17
8,350,165,4209,12,71,1,chevrolet impala,14
4,97,71,1825,12.2,76,2,volkswagen rabbit,29.5
8,318,150,4135,13.5,72,1,plymouth fury iii,15
4,130,102,3150,15.7,76,2,volvo 245,20
8,351,153,4129,13,72,1,ford galaxie 500,14
4,98,83,2075,15.9,77,1,dodge colt m/m,33.5
4,89,71,1990,14.9,78,2,volkswagen scirocco,31.5
6,232,100,2634,13,71,1,amc gremlin,19
4,91,68,1970,17.6,82,3,mazda glc custom,31
6,232,112,2835,14.7,82,1,ford granada l,22
4,68,49,1867,19.5,73,2,fiat 128,29
8,350,125,3900,17.4,79,1,cadillac eldorado,23
4,140,92,2572,14.9,76,1,capri ii,25
6,225,110,3620,18.7,78,1,dodge aspen,18.6
4,105,74,1980,15.3,82,2,volkswagen rabbit l,36
8,400,190,4422,12.5,72,1,chrysler newport royal,13
4,140,83,2639,17,75,1,ford pinto,23
4,119,97,2405,14.9,78,3,datsun 200-sx,23.9
8,304,120,3962,13.9,76,1,amc matador,15.5
4,97,60,1834,19,71,2,volkswagen model 111,27
4,101,83,2202,15.3,76,2,renault 12tl,27
6,250,88,3139,14.5,71,1,ford mustang,18
6,225,95,3785,19,75,1,plymouth fury,18
8,360,215,4615,14,70,1,ford f250,10
6,250,100,3336,17,74,1,chevrolet nova,15
6,231,105,3425,16.9,77,1,buick skylark,20.5
8,350,165,4274,12,72,1,chevrolet impala,13
6,232,100,2789,15,73,1,amc gremlin,18
4,140,?,2905,14.3,80,1,ford mustang cobra,23.6
4,98,83,2219,16.5,74,2,audi fox,29
8,350,180,4380,12.1,76,1,cadillac seville,16.5
8,302,129,3169,12,75,1,ford mustang ii,13
4,91,67,1995,16.2,82,3,datsun 310 gx,38
4,98,60,2164,22.1,76,1,chevrolet woody,24.5
6,225,100,3430,17.2,78,1,plymouth volare,20.5
4,91,70,1955,20.5,71,1,plymouth cricket,26
4,141,80,3230,20.4,81,2,peugeot 505s turbo diesel,28.1
6,200,81,3012,17.6,76,1,ford maverick,24
4,108,93,2391,15.5,74,3,subaru,26
4,79,67,1950,19,74,3,datsun b210,31
4,116,90,2123,14,71,2,opel 1900,28
4,89,60,1968,18.8,80,3,toyota corolla tercel,38.1
4,116,75,2246,14,74,2,fiat 124 tc,26
6,225,85,3465,16.6,81,1,chrysler lebaron salon,17.6
4,85,65,2020,19.2,79,3,datsun 210,31.8
8,390,190,3850,8.5,70,1,amc ambassador dpl,15
4,141,71,3190,24.8,79,2,peugeot 504,27.2
6,225,100,3630,17.7,77,1,plymouth volare custom,19
4,135,84,2525,16,82,1,dodge aries se,29
4,140,72,2565,13.6,76,1,ford pinto,26.5
4,105,63,2125,14.7,82,1,plymouth horizon miser,38
4,134,90,2711,15.5,80,3,toyota corona liftback,29.8
4,91,53,1795,17.4,76,3,honda civic,33
4,140,92,2865,16.4,82,1,ford fairmont futura,24
4,107,75,2210,14.4,81,3,honda prelude,33.7
4,119,92,2434,15,80,3,datsun 510 hatchback,37
4,98,70,2120,15.5,80,1,chevrolet chevette,32.1
4,112,88,2605,19.6,82,1,chevrolet cavalier,28
8,400,190,4325,12.2,77,1,chrysler cordoba,15.5
4,100,?,2320,15.8,81,2,renault 18i,34.5
4,114,91,2582,14,73,2,audi 100ls,20
6,200,85,2965,15.8,78,1,ford fairmont (auto),20.2
6,258,110,3632,18,74,1,amc matador,16
4,79,58,1755,16.9,81,3,toyota starlet,39.1
4,90,71,2223,16.5,75,2,volkswagen dasher,25
4,151,88,2740,16,77,1,pontiac sunbird coupe,24.5
4,98,?,2046,19,71,1,ford pinto,25
8,304,150,3672,11.5,73,1,amc matador,14
6,173,115,2700,12.9,79,1,oldsmobile omega brougham,26.8
4,98,80,2164,15,72,1,dodge colt (sw),28
4,140,90,2264,15.5,71,1,chevrolet vega 2300,28
8,305,130,3840,15.4,79,1,chevrolet caprice classic,17
4,140,78,2592,18.5,75,1,pontiac astro,23
6,262,85,3015,17,82,1,oldsmobile cutlass ciera (diesel),38
4,90,75,2125,14.5,74,1,dodge colt,28
6,250,72,3158,19.5,75,1,ford maverick,15
8,350,165,3693,11.5,70,1,buick skylark 320,15
8,429,208,4633,11,72,1,mercury marquis,11
4,97,78,2188,15.8,80,2,audi 4000,34.3
6,250,110,3520,16.4,77,1,chevrolet concours,17.5
8,351,152,4215,12.8,76,1,ford gran torino,14.5
4,135,84,2490,15.7,81,1,plymouth reliant,27.2
6,250,105,3897,18.5,75,1,chevroelt chevelle malibu,16
4,91,67,1965,15.7,82,3,honda civic (auto),32
4,135,84,2385,12.9,81,1,plymouth reliant,30
4,151,84,2635,16.4,81,1,buick skylark,26.6
6,171,97,2984,14.5,75,1,ford pinto,18
4,105,75,2230,14.5,78,1,dodge omni,30.9
8,260,110,3365,15.5,78,1,oldsmobile cutlass salon brougham,19.9
4,90,70,1937,14,75,2,volkswagen rabbit,29
4,83,61,2003,19,74,3,datsun 710,32
4,98,68,2155,16.5,78,1,chevrolet chevette,30
8,318,150,3399,11,73,1,dodge dart custom,15
4,122,86,2395,16,72,1,ford pinto (sw),22
4,121,112,2933,14.5,72,2,volvo 145e (sw),18
4,105,70,2200,13.2,79,1,plymouth horizon,34.2
8,429,198,4341,10,70,1,ford galaxie 500,15
4,146,67,3250,21.8,80,2,mercedes-benz 240d,30
6,225,110,3360,16.6,79,1,dodge aspen 6,20.6
8,455,225,4951,11,73,1,buick electra 225 custom,12
4,97,54,2254,23.5,72,2,volkswagen type 3,23
4,97,75,2171,16,75,3,toyota corolla,29
4,119,82,2720,19.4,82,1,chevy s-10,31
6,146,120,2930,13.8,81,3,datsun 810 maxima,24.2
4,85,70,1945,16.8,77,3,datsun f-10 hatchback,33.5
4,90,48,1985,21.5,78,2,volkswagen rabbit custom diesel,43.1
4,91,68,1985,16,81,3,mazda glc 4,34.1
4,91,60,1800,16.4,78,3,honda civic cvcc,36.1
6,225,95,3264,16,75,1,plymouth valiant custom,19
6,250,110,3645,16.2,76,1,pontiac ventura sj,18.5
8,318,150,4190,13,76,1,dodge coronet brougham,16
6,198,95,3102,16.5,74,1,plymouth duster,20
4,104,95,2375,17.5,70,2,saab 99e,25
8,340,160,3609,8,70,1,plymouth 'cuda 340,14
4,120,88,2957,17,75,2,peugeot 504,23
8,383,180,4955,11.5,71,1,dodge monaco (sw),12
4,134,95,2515,14.8,78,3,toyota celica gt liftback,21.1
6,232,90,3210,17.2,78,1,amc concord,19.4
8,455,225,4425,10,70,1,pontiac catalina,14
6,168,120,3820,16.7,76,2,mercedes-benz 280s,16.5
6,225,100,3651,17.7,76,1,dodge aspen se,20
6,231,165,3445,13.4,78,1,buick regal sport coupe (turbo),17.7
4,151,90,2950,17.3,82,1,chevrolet camaro,27
8,400,150,4997,14,73,1,chevrolet impala,11
3,80,110,2720,13.5,77,3,mazda rx-4,21.5
4,90,70,1937,14.2,76,2,vw rabbit,29
6,146,97,2815,14.5,77,3,datsun 810,22
6,250,88,3021,16.5,73,1,ford maverick,18
4,107,72,2290,17,80,3,honda accord,32.4
5,131,103,2830,15.9,78,2,audi 5000,20.3
4,116,81,2220,16.9,76,2,opel 1900,25
8,400,230,4278,9.5,73,1,pontiac grand prix,16
4,122,86,2226,16.5,72,1,ford pinto runabout,21
8,351,142,4054,14.3,79,1,ford country squire (sw),15.5
4,85,65,1975,19.4,81,3,datsun 210 mpg,37
4,105,70,2150,14.9,79,1,plymouth horizon tc3,34.5
8,304,150,4257,15.5,74,1,amc matador (sw),14
4,90,48,2085,21.7,80,2,vw rabbit c (diesel),44.3
6,250,100,3781,17,74,1,chevrolet chevelle malibu classic,16
8,318,150,4096,13,71,1,plymouth fury iii,14
6,173,115,2595,11.3,79,1,chevrolet citation,28.8
6,200,85,2587,16,70,1,ford maverick,21
6,232,100,3288,15.5,71,1,amc matador,18
6,225,105,3439,15.5,71,1,plymouth satellite custom,16
4,97,52,2130,24.6,82,2,vw pickup,44
8,429,198,4952,11.5,73,1,mercury marquis brougham,12
8,318,145,4140,13.7,77,1,dodge monaco brougham,15.5
8,360,175,3821,11,73,1,amc ambassador brougham,13
4,119,97,2545,17,75,3,datsun 710,24
8,318,150,3755,14,76,1,dodge d100,13
8,350,150,4699,14.5,74,1,buick century luxus (sw),13
4,97,46,1950,21,73,2,volkswagen super beetle,26
4,91,67,1850,13.8,80,3,honda civic 1500 gl,44.6
4,97.5,80,2126,17,72,1,dodge colt hardtop,25
4,85,70,1990,17,76,3,datsun b-210,32
4,97,88,2130,14.5,71,3,datsun pl510,27
3,70,90,2124,13.5,73,3,maxda rx3,18
